ID,LRT,p-value,K,Number of Sites,Condition,Significance,Group
OG11660,0.548439324093124,0.458956087564655,0.7476985300471743,716,Relaxation,Insignificant,Remaining
OG11661,0.1446277899840425,0.7037230283119444,1.239736380309453,672,Intensification,Insignificant,Terrestrial
OG11669,21.03804589064021,4.502532009675875e-6,0.03639834646276116,727,Relaxation,Significant,Terrestrial
OG11691,1.769658026033539,0.1834244067363486,0.6218324102020819,716,Relaxation,Insignificant,Remaining
OG11723,4.2925774529085174,0.03827909371711302,2.343650757911071,793,Intensification,Insignificant,Remaining
OG11743,7.527678345367349,0.00607581562416748,0.3268735108863616,705,Relaxation,Insignificant,Remaining
OG11744,0.1524778523944406,0.6961785914403815,1.135600567940976,721,Intensification,Insignificant,Remaining
OG11821,0.1430476704354078,0.7052698186163655,6.57979441077213,722,Intensification,Insignificant,Remaining
OG11849,0.09686320037872065,0.7556268924765812,0.827292260580957,738,Relaxation,Insignificant,Remaining
OG11856,26.64100218573822,2.449890427191903e-7,11.88139863361199,714,Intensification,Significant,Aipysurus laevis
OG11866,1.373739933374964,0.2411703493862958,0.5985752730686686,719,Relaxation,Insignificant,Terrestrial
OG11876,1.186370244176942,0.276062945675975,0.2355268202125045,718,Relaxation,Insignificant,Remaining
OG1188,0.1315170427951671,0.7168642736547401,0.8952364371593041,1883,Relaxation,Insignificant,Remaining
OG11885,1.521341258136999,0.2174166337619831,0.5037088926962676,704,Relaxation,Insignificant,Remaining
OG11899,1.352802803874511,0.2447887239810439,4.78637610839182e-6,739,Relaxation,Insignificant,Terrestrial
OG11908,0.717154269645107,0.3970789497064019,0.7258660407384868,714,Relaxation,Insignificant,Remaining
OG11912,0.7653021322948916,0.3816743104716377,0.5938613761335687,703,Relaxation,Insignificant,Remaining
OG11947,18.53289642637992,1.669969999806842e-5,4.943723041323796,723,Intensification,Significant,Remaining
OG11972,0.001252489470061846,0.9717683375685934,1.025668443830756,715,Intensification,Insignificant,Remaining
OG11980,33.21122844286219,8.267177276088944e-9,6.992969328551303,717,Intensification,Significant,Aipysurus laevis
OG12002,0.6861386881582803,0.4074808695640849,1.442335405502873,730,Intensification,Insignificant,Remaining
OG12028,0.005429174630990019,0.9412626792831426,0.8943908855596666,709,Relaxation,Insignificant,Remaining
OG12078,3.48678794983789,0.06186050293717771,0.4678524499016486,807,Relaxation,Insignificant,Remaining
OG12089,-2.423054493192467e-4,1,1,696,Relaxation,Insignificant,Remaining
OG12102,1.570103801339428,0.2101919399453951,0.6373167360298633,722,Relaxation,Insignificant,Remaining
OG12105,1.840183187636285,0.1749294781237268,1.589961230073721,744,Intensification,Insignificant,Remaining
